[2024-07-03T16:52:46.233+0000] {processor.py:161} INFO - Started process (PID=54) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-03T16:52:46.236+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-07-03T16:52:46.242+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.241+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-03T16:52:46.291+0000] {processor.py:840} INFO - DAG(s) 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_2', 'dataset_consumes_1', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_and_2', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-03T16:52:46.334+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.334+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-07-03T16:52:46.392+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.392+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-07-03 01:00:00+00:00, run_after=2024-07-03 01:00:00+00:00
[2024-07-03T16:52:46.398+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.398+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-07-03T16:52:46.401+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.400+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-07-03T16:52:46.402+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.402+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-07-03T16:52:46.404+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.404+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-07-03T16:52:46.405+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.405+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-07-03T16:52:46.407+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.407+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-07-03T16:52:46.409+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.409+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-07-03T16:52:46.412+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.412+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-07-02 00:00:00+00:00, run_after=2024-07-03 00:00:00+00:00
[2024-07-03T16:52:46.414+0000] {logging_mixin.py:188} INFO - [2024-07-03T16:52:46.414+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-07-03T16:52:46.461+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.246 seconds
